code, title
"2", "Secundario"
"2.1", "Industria y/o manufactura"
"2.2", "Construcción"
"2.3", "Construcción y servicios a la industria petrolera, petroquímica y similares"
"3", "Terciario"
"3.1", "Comercio al por mayor"
"3.1.02", "Alimentos"
"3.1.03", "Bebidas alcohólicas y tabaco"
"3.1.04", "Textiles, del cuero, sintéticos, del calzado, deportivos, prendas, accesorios de vestir y conexos"
"3.1.05", "Derivados de madera, corcho y artes gráficas"
"3.1.06", "Químicos, derivados del petróleo, plástico y afines"
"3.1.07", "Farmacéuticos y similares"
"3.1.08", "Higiene y cosméticos"
"3.1.09", "Construcción, metálicos y no metálicos"
"3.1.10", "Maquinarias y equipamientos varios y repuestos"
"3.2", "Comercio al detal"
"3.2.01", "Materias primas y similares"
"3.2.02", "Alimentos"
"3.2.03", "Bebidas alcohólicas y tabaco"
"3.2.04", "Textiles, del cuero, sintéticos, del calzado, deportivos, prendas, accesorios de vestir y conexos"
"3.2.05", "Derivados de madera, corcho y artes gráficas"
"3.2.06", "Químicos, derivados del petróleo, plástico y afines"
"3.2.07", "Farmacéuticos y similares"

"3.2.08", "Higiene y cosméticos"
"3.2.09", "Construcción, metálicos y no metálicos"
"3.2.10", "Maquinarias, equipamientos varios y repuestos"

"3.2.11", "Muebles, artefactos y artículos"
"3.2.14", "Animales, productos y artículos para animales"

"3.3", "Servicios personales y no personales"
"3.4", "Actividad no especificadas"
